# PTYA_CSV_VERSION: 1
# SIGNAL: name=time, group=General, row=0, col=0, dim=1
# SIGNAL: name=input, group=General, row=0, col=0, dim=1
# SIGNAL: name=output, group=General, row=0, col=0, dim=1
time,input,output
0.042,0.963135,0.925669
0.0421,0.958582,0.92589
0.0422,0.94732,0.926059
0.0423,0.689181,0.925384
0.0424,0.833468,0.924357
0.0425,0.976421,0.924235
0.0426,1.25304,0.925428
0.0427,0.784846,0.926014
0.0428,1.24752,0.926579
0.0429,1.35025,0.928911
0.043,1.10941,0.930795
0.0431,0.703802,0.930644
0.0432,1.20368,0.930789
0.0433,1.20654,0.932507
0.0434,1.06435,0.933778
0.0435,0.738104,0.933574
0.0436,0.83288,0.932647
0.0437,1.05135,0.932706
0.0438,1.01283,0.933328
0.0439,0.588904,0.932499
0.044,0.849253,0.931162
0.0441,0.955435,0.930981
0.0442,1.22345,0.931974
0.0443,0.825889,0.932555
0.0444,1.09082,0.932716
0.0445,0.803129,0.932805
0.0446,0.805058,0.931999
0.0447,1.34563,0.932897
0.0448,0.922311,0.934157
0.0449,1.03648,0.93444
0.045,0.913378,0.934694
0.0451,1.24692,0.935605
0.0452,0.918697,0.936527
0.0453,1.21722,0.93735
0.0454,1.14829,0.938887
0.0455,1.0847,0.939999
0.0456,1.02025,0.940704
0.0457,0.849332,0.940667
0.0458,1.18608,0.941149
0.0459,1.08285,0.94236
0.046,1.23463,0.943716
0.0461,0.986243,0.94476
0.0462,0.994619,0.945046
0.0463,1.22912,0.946091
0.0464,0.719629,0.946268
0.0465,1.02413,0.945802
0.0466,0.903855,0.945916
0.0467,1.0994,0.946265
0.0468,0.726989,0.946058
0.0469,0.969992,0.945447
0.047,1.20442,0.946334
0.0471,0.996411,0.9473
0.0472,0.956974,0.947484
0.0473,0.858475,0.947235
0.0474,0.746455,0.946328
0.0475,0.951315,0.945718
0.0476,1.12099,0.946284
0.0477,1.05096,0.947159
0.0478,0.799916,0.947023
0.0479,0.783859,0.946051
0.048,1.02895,0.945803
0.0481,1.05791,0.946414
0.0482,0.988205,0.946894
0.0483,1.01814,0.947247
0.0484,0.900112,0.947321
0.0485,1.35173,0.94844
0.0486,1.19608,0.950478
0.0487,0.761007,0.950654
0.0488,1.06217,0.95041
0.0489,1.0326,0.951017
0.049,0.879065,0.951047
0.0491,1.14808,0.951439
0.0492,0.692338,0.951243
0.0493,0.731877,0.949745
0.0494,1.19557,0.949833
0.0495,1.116,0.951123
0.0496,0.973884,0.951711
0.0497,0.791174,0.951277
0.0498,0.901187,0.950619
0.0499,0.819749,0.950054
0.05,1.18265,0.950375
0.0501,1.38777,0.952472
0.0502,1.27436,0.954843
0.0503,1.31069,0.956958
0.0504,0.99813,0.958195
0.0505,1.21132,0.959113
0.0506,0.974883,0.959952
0.0507,0.979974,0.960062
0.0508,1.1389,0.960684
0.0509,0.972833,0.96128
0.051,1.06838,0.961652
0.0511,0.971262,0.962016
0.0512,0.925634,0.961931
0.0513,0.69692,0.960988
0.0514,0.726993,0.959428
0.0515,0.923041,0.958586
0.0516,1.17184,0.959142
0.0517,0.720001,0.95906
0.0518,1.12366,0.958826
0.0519,0.695523,0.958518
0.052,0.755042,0.957057
0.0521,0.738233,0.955739
0.0522,0.638204,0.954064
0.0523,0.99563,0.953205
0.0524,0.694562,0.952527
0.0525,1.02343,0.951942
0.0526,1.30127,0.953259
0.0527,1.10746,0.954832
0.0528,0.775472,0.954749
0.0529,1.01521,0.954376
0.053,0.629379,0.953549
0.0531,0.991225,0.952652
0.0532,1.47231,0.9544
0.0533,0.868778,0.955754
0.0534,1.50689,0.957208
0.0535,0.802501,0.958445
0.0536,0.805091,0.957476
0.0537,1.08666,0.957403
0.0538,1.12822,0.958343
0.0539,1.10153,0.959323
0.054,1.47712,0.96139
0.0541,0.758608,0.962371
0.0542,0.72626,0.960993
0.0543,1.32308,0.961392
0.0544,0.84196,0.962151
0.0545,1.28944,0.962799
0.0546,0.64817,0.962837
0.0547,1.44828,0.963372
0.0548,1.16144,0.96551
0.0549,1.01227,0.96627
0.055,1.08969,0.966801
0.0551,0.632825,0.96614
0.0552,1.2915,0.966115
0.0553,1.22893,0.967957
0.0554,0.836898,0.968364
0.0555,1.12203,0.968433
0.0556,0.942032,0.968832
0.0557,0.968136,0.968746
0.0558,1.13264,0.969257
0.0559,1.01651,0.969917
0.056,0.97403,0.970076
0.0561,1.07073,0.970403
0.0562,0.896285,0.970485
0.0563,0.846165,0.969864
0.0564,0.842424,0.969077
0.0565,0.917744,0.96852
0.0566,0.880191,0.968084
0.0567,0.464118,0.96623
0.0568,1.00844,0.96479
0.0569,1.2433,0.965799
0.057,1.09712,0.967079
0.0571,1.2431,0.968351
0.0572,0.827327,0.96877
0.0573,0.580841,0.967112
0.0574,1.08509,0.966272
0.0575,1.13118,0.96716
0.0576,0.743148,0.966973
0.0577,0.557297,0.964989
0.0578,0.848833,0.963348
0.0579,0.965992,0.962998
0.058,0.536771,0.961672
0.0581,1.32932,0.961493
0.0582,0.804213,0.962152
0.0583,0.876799,0.96139
0.0584,1.00581,0.961265
0.0585,1.08959,0.961806
0.0586,0.809848,0.96173
0.0587,1.00833,0.961401
0.0588,1.14141,0.962111
0.0589,1.03767,0.962909
0.059,1.32313,0.964272
0.0591,1.07737,0.96575
0.0592,1.13128,0.966618
0.0593,1.28825,0.968141
0.0594,1.60579,0.97114
0.0595,1.03121,0.973316
0.0596,0.98836,0.973544
0.0597,0.994832,0.973657
0.0598,0.770892,0.973089
0.0599,1.12407,0.972928
0.06,1.05592,0.973661
0.0601,1.13325,0.974419
0.0602,0.99829,0.974991
0.0603,1.23767,0.975887
0.0604,1.34604,0.977866
0.0605,1.42992,0.980435
0.0606,0.964827,0.981793
0.0607,0.829657,0.981264
0.0608,1.17838,0.981406
0.0609,1.01465,0.982127
0.061,1.09657,0.982588
0.0611,0.493867,0.981414
0.0612,1.40663,0.981219
0.0613,1.32283,0.983621
0.0614,1.21535,0.985409
0.0615,1.28965,0.987082
0.0616,0.854114,0.987613
0.0617,0.884362,0.986872
0.0618,0.92312,0.986351
0.0619,1.08613,0.986465
0.062,0.824731,0.986271
0.0621,0.928228,0.985583
0.0622,1.41843,0.986759
0.0623,0.624889,0.986978
0.0624,1.31698,0.986877
0.0625,1.03308,0.988056
0.0626,1.21479,0.988907
0.0627,0.883739,0.989285
0.0628,0.941909,0.988806
0.0629,1.11163,0.989044
0.063,0.812827,0.988876
0.0631,0.815712,0.987782
0.0632,1.28473,0.988173
0.0633,0.838852,0.988634
0.0634,0.918187,0.987945
0.0635,1.01552,0.987813
0.0636,1.13571,0.988363
0.0637,0.862012,0.988428
0.0638,1.01523,0.988116
0.0639,1.00608,0.988258
0.064,0.909001,0.988065
0.0641,1.03494,0.987964
0.0642,0.602851,0.986905
0.0643,1.25162,0.986532
0.0644,1.05391,0.987573
0.0645,0.934589,0.987615
0.0646,0.92086,0.987239
0.0647,1.13825,0.987505
0.0648,1.34125,0.989084
0.0649,1.22648,0.990931
0.065,1.07701,0.991938
0.0651,0.633702,0.991083
0.0652,1.23032,0.990713
0.0653,0.612583,0.990279
0.0654,0.930908,0.98891
0.0655,1.16506,0.98928
0.0656,0.959981,0.989739
0.0657,1.42102,0.990996
0.0658,0.890033,0.992027
0.0659,1.03727,0.991849
0.066,0.743729,0.991214
0.0661,0.801263,0.989844
0.0662,1.02412,0.989361
0.0663,1.25211,0.990293
0.0664,0.88521,0.990784
0.0665,1.12252,0.990866
