# PTYA_CSV_VERSION: 1
# SIGNAL: name=time, group=General, row=0, col=0, dim=1
# SIGNAL: name=input, group=General, row=0, col=0, dim=1
# SIGNAL: name=output, group=General, row=0, col=0, dim=1
time,input,output
0.0527,-0.684547,-0.706758
0.0528,-0.661312,-0.705711
0.0529,-0.637424,-0.703969
0.053,-0.612907,-0.701531
0.0531,-0.587785,-0.698401
0.0532,-0.562084,-0.694582
0.0533,-0.535827,-0.690077
0.0534,-0.509042,-0.684892
0.0535,-0.481754,-0.67903
0.0536,-0.453991,-0.672499
0.0537,-0.425779,-0.665303
0.0538,-0.397148,-0.657451
0.0539,-0.368125,-0.648951
0.054,-0.338738,-0.639809
0.0541,-0.309017,-0.630037
0.0542,-0.278992,-0.619642
0.0543,-0.24869,-0.608637
0.0544,-0.218144,-0.59703
0.0545,-0.187382,-0.584834
0.0546,-0.156435,-0.572062
0.0547,-0.125333,-0.558724
0.0548,-0.0941083,-0.544835
0.0549,-0.0627905,-0.530409
0.055,-0.0314108,-0.515459
0.0551,-4.64912e-07,-0.5
0.0552,0.0314103,-0.484048
0.0553,0.0627901,-0.467618
0.0554,0.0941079,-0.450727
0.0555,0.125333,-0.433391
0.0556,0.156434,-0.415627
0.0557,0.187381,-0.397453
0.0558,0.218143,-0.378887
0.0559,0.24869,-0.359947
0.056,0.278991,-0.340651
0.0561,0.309017,-0.32102
0.0562,0.338737,-0.301072
0.0563,0.368124,-0.280826
0.0564,0.397148,-0.260304
0.0565,0.425779,-0.239524
0.0566,0.45399,-0.218508
0.0567,0.481753,-0.197277
0.0568,0.509041,-0.17585
0.0569,0.535827,-0.154251
0.057,0.562083,-0.132499
0.0571,0.587785,-0.110616
0.0572,0.612907,-0.0886242
0.0573,0.637424,-0.0665448
0.0574,0.661312,-0.0443998
0.0575,0.684547,-0.022211
0.0576,0.707107,-1.88319e-07
0.0577,0.728969,0.0222106
0.0578,0.750111,0.0443994
0.0579,0.770513,0.0665445
0.058,0.790155,0.0886238
0.0581,0.809017,0.110616
0.0582,0.82708,0.132498
0.0583,0.844328,0.15425
0.0584,0.860742,0.17585
0.0585,0.876307,0.197276
0.0586,0.891007,0.218508
0.0587,0.904827,0.239524
0.0588,0.917755,0.260303
0.0589,0.929776,0.280826
0.059,0.940881,0.301071
0.0591,0.951056,0.32102
0.0592,0.960294,0.340651
0.0593,0.968583,0.359946
0.0594,0.975917,0.378887
0.0595,0.982287,0.397453
0.0596,0.987688,0.415627
0.0597,0.992115,0.433391
0.0598,0.995562,0.450727
0.0599,0.998027,0.467618
0.06,0.999507,0.484048
0.0601,1,0.5
0.0602,0.999507,0.515459
0.0603,0.998027,0.530409
0.0604,0.995562,0.544835
0.0605,0.992115,0.558724
0.0606,0.987688,0.572061
0.0607,0.982287,0.584834
0.0608,0.975917,0.59703
0.0609,0.968583,0.608636
0.061,0.960294,0.619642
0.0611,0.951057,0.630037
0.0612,0.940881,0.639809
0.0613,0.929777,0.64895
0.0614,0.917755,0.657451
0.0615,0.904827,0.665303
0.0616,0.891007,0.672498
0.0617,0.876307,0.67903
0.0618,0.860742,0.684892
0.0619,0.844328,0.690077
0.062,0.827081,0.694582
0.0621,0.809017,0.698401
0.0622,0.790155,0.701531
0.0623,0.770514,0.703969
0.0624,0.750111,0.705711
0.0625,0.728969,0.706758
0.0626,0.707107,0.707107
0.0627,0.684547,0.706758
0.0628,0.661312,0.705712
0.0629,0.637424,0.703969
0.063,0.612907,0.701531
0.0631,0.587786,0.698401
0.0632,0.562084,0.694582
0.0633,0.535827,0.690077
0.0634,0.509042,0.684892
0.0635,0.481754,0.67903
0.0636,0.453991,0.672499
0.0637,0.42578,0.665303
0.0638,0.397148,0.657451
0.0639,0.368125,0.648951
0.064,0.338738,0.639809
0.0641,0.309017,0.630037
0.0642,0.278992,0.619643
0.0643,0.24869,0.608637
0.0644,0.218144,0.59703
0.0645,0.187382,0.584834
0.0646,0.156435,0.572062
0.0647,0.125334,0.558724
0.0648,0.0941088,0.544835
0.0649,0.062791,0.530409
0.065,0.0314112,0.515459
0.0651,4.33126e-07,0.5
0.0652,-0.0314105,0.484048
0.0653,-0.0627901,0.467618
0.0654,-0.0941079,0.450727
0.0655,-0.125333,0.433391
0.0656,-0.156434,0.415627
0.0657,-0.187381,0.397453
0.0658,-0.218143,0.378887
0.0659,-0.24869,0.359947
0.066,-0.278991,0.340652
0.0661,-0.309017,0.32102
0.0662,-0.338738,0.301072
0.0663,-0.368124,0.280826
0.0664,-0.397148,0.260304
0.0665,-0.425779,0.239524
0.0666,-0.45399,0.218508
0.0667,-0.481753,0.197277
0.0668,-0.509041,0.175851
0.0669,-0.535826,0.154251
0.067,-0.562083,0.132499
0.0671,-0.587785,0.110616
0.0672,-0.612907,0.0886243
0.0673,-0.637424,0.0665449
0.0674,-0.661312,0.0443999
0.0675,-0.684547,0.022211
0.0676,-0.707106,2.87427e-07
0.0677,-0.728969,-0.0222105
0.0678,-0.750111,-0.0443993
0.0679,-0.770513,-0.0665443
0.068,-0.790155,-0.0886237
0.0681,-0.809017,-0.110616
0.0682,-0.82708,-0.132498
0.0683,-0.844328,-0.15425
0.0684,-0.860742,-0.17585
0.0685,-0.876307,-0.197276
0.0686,-0.891006,-0.218508
0.0687,-0.904827,-0.239524
0.0688,-0.917754,-0.260303
0.0689,-0.929776,-0.280826
0.069,-0.940881,-0.301071
0.0691,-0.951056,-0.32102
0.0692,-0.960294,-0.340651
0.0693,-0.968583,-0.359946
0.0694,-0.975917,-0.378887
0.0695,-0.982287,-0.397453
0.0696,-0.987688,-0.415627
0.0697,-0.992115,-0.433391
0.0698,-0.995562,-0.450727
0.0699,-0.998027,-0.467618
0.07,-0.999507,-0.484048
0.0701,-1,-0.5
0.0702,-0.999507,-0.515458
0.0703,-0.998027,-0.530408
0.0704,-0.995562,-0.544835
0.0705,-0.992115,-0.558724
0.0706,-0.987688,-0.572061
0.0707,-0.982287,-0.584834
0.0708,-0.975917,-0.59703
0.0709,-0.968583,-0.608636
0.071,-0.960294,-0.619642
0.0711,-0.951057,-0.630037
0.0712,-0.940881,-0.639809
0.0713,-0.929777,-0.64895
0.0714,-0.917755,-0.657451
0.0715,-0.904827,-0.665303
0.0716,-0.891007,-0.672498
0.0717,-0.876307,-0.67903
0.0718,-0.860742,-0.684892
0.0719,-0.844328,-0.690077
0.072,-0.827081,-0.694582
0.0721,-0.809017,-0.698401
0.0722,-0.790155,-0.701531
0.0723,-0.770514,-0.703969
0.0724,-0.750111,-0.705711
0.0725,-0.728969,-0.706758
0.0726,-0.707107,-0.707107
0.0727,-0.684547,-0.706758
0.0728,-0.661312,-0.705711
0.0729,-0.637424,-0.703969
0.073,-0.612907,-0.701531
0.0731,-0.587785,-0.698401
0.0732,-0.562084,-0.694582
0.0733,-0.535827,-0.690077
0.0734,-0.509042,-0.684892
0.0735,-0.481754,-0.67903
0.0736,-0.453991,-0.672499
0.0737,-0.425779,-0.665303
0.0738,-0.397148,-0.657451
0.0739,-0.368125,-0.648951
0.074,-0.338738,-0.639809
0.0741,-0.309017,-0.630037
0.0742,-0.278992,-0.619642
0.0743,-0.24869,-0.608637
0.0744,-0.218144,-0.59703
0.0745,-0.187382,-0.584834
0.0746,-0.156435,-0.572062
0.0747,-0.125334,-0.558724
0.0748,-0.0941088,-0.544835
0.0749,-0.062791,-0.530409
0.075,-0.0314108,-0.515459
0.0751,-4.64912e-07,-0.5
0.0752,0.0314103,-0.484048
0.0753,0.0627901,-0.467618
0.0754,0.0941079,-0.450727
0.0755,0.125333,-0.433391
0.0756,0.156434,-0.415627
0.0757,0.187381,-0.397453
0.0758,0.218143,-0.378887
0.0759,0.24869,-0.359947
0.076,0.278991,-0.340652
0.0761,0.309017,-0.32102
0.0762,0.338737,-0.301072
0.0763,0.368124,-0.280826
0.0764,0.397148,-0.260304
0.0765,0.425779,-0.239524
0.0766,0.45399,-0.218508
0.0767,0.481753,-0.197277
0.0768,0.509041,-0.175851
0.0769,0.535827,-0.154251
0.077,0.562083,-0.132499
0.0771,0.587785,-0.110616
0.0772,0.612907,-0.0886242
0.0773,0.637423,-0.0665449
0.0774,0.661311,-0.0443999
0.0775,0.684547,-0.022211
0.0776,0.707107,-2.82709e-07
0.0777,0.728969,0.0222105
0.0778,0.750111,0.0443993
0.0779,0.770513,0.0665444
0.078,0.790155,0.0886237
0.0781,0.809017,0.110616
0.0782,0.82708,0.132498
0.0783,0.844328,0.15425
0.0784,0.860742,0.17585
0.0785,0.876306,0.197276
0.0786,0.891006,0.218508
0.0787,0.904827,0.239524
0.0788,0.917754,0.260303
0.0789,0.929776,0.280826
0.079,0.940881,0.301071
0.0791,0.951056,0.32102
0.0792,0.960294,0.340651
0.0793,0.968583,0.359946
0.0794,0.975917,0.378887
0.0795,0.982287,0.397453
0.0796,0.987688,0.415627
0.0797,0.992115,0.433391
0.0798,0.995562,0.450727
0.0799,0.998027,0.467618
0.08,0.999507,0.484048
0.0801,1,0.5
0.0802,0.999507,0.515458
0.0803,0.998027,0.530408
0.0804,0.995562,0.544835
0.0805,0.992115,0.558724
0.0806,0.987688,0.572061
0.0807,0.982287,0.584834
0.0808,0.975917,0.59703
0.0809,0.968583,0.608636
0.081,0.960294,0.619642
0.0811,0.951057,0.630037
0.0812,0.940881,0.639809
0.0813,0.929777,0.64895
0.0814,0.917755,0.657451
0.0815,0.904827,0.665303
0.0816,0.891007,0.672498
0.0817,0.876307,0.67903
0.0818,0.860742,0.684892
0.0819,0.844328,0.690077
0.082,0.827081,0.694582
0.0821,0.809017,0.698401
0.0822,0.790155,0.701531
0.0823,0.770514,0.703969
0.0824,0.750111,0.705711
0.0825,0.728969,0.706758
0.0826,0.707107,0.707107
0.0827,0.684548,0.706758
0.0828,0.661312,0.705712
0.0829,0.637424,0.703969
0.083,0.612908,0.701531
0.0831,0.587786,0.698401
0.0832,0.562084,0.694582
0.0833,0.535827,0.690077
0.0834,0.509042,0.684892
0.0835,0.481754,0.67903
0.0836,0.453991,0.672499
0.0837,0.42578,0.665303
0.0838,0.397148,0.657451
0.0839,0.368125,0.648951
0.084,0.338738,0.63981
0.0841,0.309018,0.630037
0.0842,0.278992,0.619643
0.0843,0.24869,0.608637
0.0844,0.218144,0.59703
0.0845,0.187382,0.584835
0.0846,0.156435,0.572062
0.0847,0.125334,0.558724
