# PTYA_CSV_VERSION: 1
# SIGNAL: name=time, group=General, row=0, col=0, dim=1
# SIGNAL: name=input, group=General, row=0, col=0, dim=1
# SIGNAL: name=output, group=General, row=0, col=0, dim=1
time,input,output
0.0439,-0.728968,-0.186613
0.044,-0.770513,-0.19628
0.0441,-0.809017,-0.205114
0.0442,-0.844328,-0.213086
0.0443,-0.876306,-0.22017
0.0444,-0.904827,-0.226343
0.0445,-0.929776,-0.231587
0.0446,-0.951056,-0.235887
0.0447,-0.968583,-0.239232
0.0448,-0.982287,-0.241616
0.0449,-0.992115,-0.243033
0.045,-0.998027,-0.243486
0.0451,-1,-0.242977
0.0452,-0.998027,-0.241517
0.0453,-0.992115,-0.239115
0.0454,-0.982287,-0.235787
0.0455,-0.968583,-0.231552
0.0456,-0.951057,-0.226434
0.0457,-0.929777,-0.220456
0.0458,-0.904827,-0.213648
0.0459,-0.876307,-0.206043
0.046,-0.844328,-0.197674
0.0461,-0.809017,-0.18858
0.0462,-0.770514,-0.178802
0.0463,-0.728969,-0.168381
0.0464,-0.684548,-0.157362
0.0465,-0.637425,-0.145794
0.0466,-0.587785,-0.133724
0.0467,-0.535827,-0.121204
0.0468,-0.481754,-0.108286
0.0469,-0.42578,-0.095022
0.047,-0.368125,-0.0814675
0.0471,-0.309018,-0.0676772
0.0472,-0.24869,-0.0537071
0.0473,-0.187382,-0.039613
0.0474,-0.125334,-0.0254514
0.0475,-0.062791,-0.0112783
0.0476,-4.64912e-07,0.00285053
0.0477,0.0627901,0.0168797
0.0478,0.125333,0.0307546
0.0479,0.187381,0.0444217
0.048,0.24869,0.0578284
0.0481,0.309017,0.0709237
0.0482,0.368124,0.0836576
0.0483,0.425779,0.0959831
0.0484,0.481753,0.107854
0.0485,0.535827,0.119226
0.0486,0.587785,0.130058
0.0487,0.637423,0.14031
0.0488,0.684547,0.149947
0.0489,0.728968,0.158932
0.049,0.770513,0.167237
0.0491,0.809017,0.174831
0.0492,0.844328,0.181691
0.0493,0.876306,0.187792
0.0494,0.904827,0.193117
0.0495,0.929776,0.197648
0.0496,0.951056,0.201373
0.0497,0.968583,0.204283
0.0498,0.982287,0.206371
0.0499,0.992115,0.207634
0.05,0.998027,0.208072
0.0501,1,0.207689
0.0502,0.998027,0.206491
0.0503,0.992115,0.204488
0.0504,0.982287,0.201694
0.0505,0.968583,0.198123
0.0506,0.951057,0.193795
0.0507,0.929777,0.188732
0.0508,0.904827,0.182958
0.0509,0.876307,0.176501
0.051,0.844328,0.169389
0.0511,0.809017,0.161656
0.0512,0.770514,0.153334
0.0513,0.728969,0.144462
0.0514,0.684548,0.135077
0.0515,0.637425,0.12522
0.0516,0.587786,0.114931
0.0517,0.535827,0.104255
0.0518,0.481754,0.093235
0.0519,0.42578,0.0819174
0.052,0.368125,0.0703484
0.0521,0.309018,0.0585751
0.0522,0.248691,0.046645
0.0523,0.187382,0.0346063
0.0524,0.125334,0.0225065
0.0525,0.0627912,0.010394
0.0526,6.71544e-07,-0.00168365
0.0527,-0.0627898,-0.0136789
0.0528,-0.125333,-0.0255455
0.0529,-0.187381,-0.0372371
0.053,-0.248689,-0.048709
0.0531,-0.309016,-0.0599177
0.0532,-0.368124,-0.0708204
0.0533,-0.425779,-0.081376
0.0534,-0.481753,-0.0915459
0.0535,-0.535826,-0.101292
0.0536,-0.587785,-0.110578
0.0537,-0.637424,-0.119371
0.0538,-0.684546,-0.127639
0.0539,-0.728968,-0.135354
0.054,-0.770513,-0.142488
0.0541,-0.809017,-0.149016
0.0542,-0.844328,-0.154918
0.0543,-0.876306,-0.160172
0.0544,-0.904827,-0.164764
0.0545,-0.929776,-0.168679
0.0546,-0.951056,-0.171906
0.0547,-0.968583,-0.174437
0.0548,-0.982287,-0.176265
0.0549,-0.992115,-0.177388
0.055,-0.998027,-0.177807
0.0551,-1,-0.177523
0.0552,-0.998027,-0.176542
0.0553,-0.992115,-0.174874
0.0554,-0.982287,-0.172527
0.0555,-0.968583,-0.169517
0.0556,-0.951057,-0.165858
0.0557,-0.929777,-0.16157
0.0558,-0.904827,-0.156674
0.0559,-0.876307,-0.151191
0.056,-0.844328,-0.145148
0.0561,-0.809017,-0.138572
0.0562,-0.770514,-0.131491
0.0563,-0.728969,-0.123938
0.0564,-0.684548,-0.115944
0.0565,-0.637425,-0.107545
0.0566,-0.587786,-0.0987743
0.0567,-0.535827,-0.0896703
0.0568,-0.481754,-0.0802705
0.0569,-0.42578,-0.0706138
0.057,-0.368125,-0.0607397
0.0571,-0.309018,-0.0506884
0.0572,-0.24869,-0.0405006
0.0573,-0.187382,-0.0302177
0.0574,-0.125334,-0.0198794
0.0575,-0.062791,-0.00952807
0.0576,-4.64912e-07,0.000795983
0.0577,0.0627901,0.0110523
0.0578,0.125332,0.0212004
0.0579,0.18738,0.0312021
0.058,0.248689,0.0410184
0.0581,0.309017,0.0506124
0.0582,0.368124,0.0599463
0.0583,0.425779,0.0689863
0.0584,0.481753,0.0776984
0.0585,0.535826,0.0860503
0.0586,0.587785,0.0940114
0.0587,0.637423,0.101553
0.0588,0.684547,0.108647
0.0589,0.728968,0.11527
0.059,0.770513,0.121398
0.0591,0.809017,0.12701
0.0592,0.844327,0.132087
0.0593,0.876306,0.136612
0.0594,0.904827,0.140572
0.0595,0.929776,0.143954
0.0596,0.951056,0.146749
0.0597,0.968583,0.148948
0.0598,0.982287,0.150548
0.0599,0.992115,0.151546
0.06,0.998027,0.151941
0.0601,1,0.151736
0.0602,0.998027,0.150935
0.0603,0.992115,0.149546
0.0604,0.982287,0.147576
0.0605,0.968583,0.145039
0.0606,0.951057,0.141947
0.0607,0.929777,0.138315
0.0608,0.904827,0.134163
0.0609,0.876307,0.129508
0.061,0.844328,0.124373
0.0611,0.809018,0.118781
0.0612,0.770514,0.112757
0.0613,0.728969,0.106327
0.0614,0.684548,0.0995182
0.0615,0.637425,0.0923609
0.0616,0.587786,0.0848851
0.0617,0.535827,0.0771221
0.0618,0.481754,0.0691042
0.0619,0.42578,0.0608648
0.062,0.368125,0.0524375
0.0621,0.309018,0.0438565
0.0622,0.248691,0.0351569
0.0623,0.187382,0.0263733
0.0624,0.125334,0.0175409
0.0625,0.0627913,0.00869474
0.0626,7.90754e-07,-0.000130212
0.0627,-0.0627898,-0.00889942
0.0628,-0.125332,-0.0175786
0.0629,-0.18738,-0.0261344
0.063,-0.248689,-0.0345339
0.0631,-0.309016,-0.0427449
0.0632,-0.368124,-0.0507362
0.0633,-0.425779,-0.058478
0.0634,-0.481753,-0.0659413
0.0635,-0.535826,-0.0730985
0.0636,-0.587784,-0.079923
0.0637,-0.637423,-0.0863908
0.0638,-0.684546,-0.0924779
0.0639,-0.728968,-0.0981632
0.064,-0.770513,-0.103427
0.0641,-0.809016,-0.108251
0.0642,-0.844327,-0.112618
0.0643,-0.876306,-0.116515
0.0644,-0.904827,-0.11993
0.0645,-0.929776,-0.122851
0.0646,-0.951056,-0.125271
0.0647,-0.968583,-0.127182
0.0648,-0.982287,-0.128582
0.0649,-0.992115,-0.129466
0.065,-0.998027,-0.129836
0.0651,-1,-0.129693
0.0652,-0.998027,-0.12904
0.0653,-0.992115,-0.127884
0.0654,-0.982287,-0.126232
0.0655,-0.968583,-0.124093
0.0656,-0.951057,-0.12148
0.0657,-0.929777,-0.118405
0.0658,-0.904827,-0.114884
0.0659,-0.876307,-0.110933
0.066,-0.844328,-0.10657
0.0661,-0.809017,-0.101815
0.0662,-0.770514,-0.096689
0.0663,-0.728969,-0.0912151
0.0664,-0.684548,-0.0854162
0.0665,-0.637425,-0.0793178
0.0666,-0.587786,-0.0729455
0.0667,-0.535827,-0.0663261
0.0668,-0.481754,-0.0594872
0.0669,-0.42578,-0.0524575
0.067,-0.368125,-0.0452646
0.0671,-0.309018,-0.037939
0.0672,-0.24869,-0.03051
0.0673,-0.187382,-0.023008
0.0674,-0.125334,-0.0154619
0.0675,-0.0627915,-0.00790226
0.0676,-9.41749e-07,-0.000358834
0.0677,0.0627901,0.00713926
0.0678,0.125332,0.0145614
0.0679,0.18738,0.0218802
0.068,0.248689,0.0290672
0.0681,0.309016,0.0360948
0.0682,0.368124,0.0429365
0.0683,0.425779,0.0495663
0.0684,0.481753,0.0559597
0.0685,0.535826,0.0620929
0.0686,0.587785,0.0679434
0.0687,0.637423,0.07349
0.0688,0.684546,0.0787124
0.0689,0.728968,0.0835932
0.069,0.770513,0.0881141
0.0691,0.809017,0.0922601
0.0692,0.844327,0.096017
0.0693,0.876306,0.0993726
0.0694,0.904827,0.102317
0.0695,0.929776,0.10484
0.0696,0.951056,0.106934
0.0697,0.968583,0.108595
0.0698,0.982287,0.109818
0.0699,0.992115,0.110602
0.07,0.998027,0.110945
0.0701,1,0.11085
0.0702,0.998027,0.11032
0.0703,0.992115,0.109358
0.0704,0.982287,0.107973
0.0705,0.968583,0.106171
0.0706,0.951057,0.103963
0.0707,0.929777,0.10136
0.0708,0.904827,0.0983738
0.0709,0.876307,0.0950197
0.071,0.844328,0.0913128
0.0711,0.809018,0.0872698
0.0712,0.770514,0.0829088
0.0713,0.728969,0.078249
0.0714,0.684548,0.0733103
0.0715,0.637425,0.0681143
0.0716,0.587786,0.0626828
0.0717,0.535828,0.0570386
0.0718,0.481755,0.0512055
0.0719,0.42578,0.0452074
0.072,0.368126,0.039069
0.0721,0.309018,0.0328151
0.0722,0.248691,0.0264714
0.0723,0.187382,0.0200634
0.0724,0.125334,0.0136165
0.0725,0.0627917,0.00715653
0.0726,1.02917e-06,0.000708514
0.0727,-0.0627895,-0.0057018
0.0728,-0.125332,-0.0120496
0.0729,-0.18738,-0.0183103
0.073,-0.248689,-0.0244596
0.0731,-0.309016,-0.0304742
0.0732,-0.368124,-0.0363313
0.0733,-0.425779,-0.0420089
0.0734,-0.481753,-0.0474855
0.0735,-0.535826,-0.0527411
0.0736,-0.587784,-0.0577563
0.0737,-0.637423,-0.062513
0.0738,-0.684546,-0.0669939
0.0739,-0.728968,-0.0711832
0.074,-0.770513,-0.0750662
0.0741,-0.809016,-0.0786295
0.0742,-0.844327,-0.0818614
0.0743,-0.876306,-0.0847508
0.0744,-0.904827,-0.0872886
0.0745,-0.929776,-0.0894673
0.0746,-0.951056,-0.0912803
0.0747,-0.968583,-0.0927229
0.0748,-0.982287,-0.0937916
0.0749,-0.992115,-0.0944847
0.075,-0.998027,-0.0948017
0.0751,-1,-0.0947437
0.0752,-0.998027,-0.0943134
0.0753,-0.992115,-0.0935147
0.0754,-0.982287,-0.0923531
0.0755,-0.968583,-0.0908355
0.0756,-0.951057,-0.08897
0.0757,-0.929777,-0.0867661
0.0758,-0.904828,-0.0842347
0.0759,-0.876307,-0.0813878
0.076,-0.844328,-0.0782383
0.0761,-0.809017,-0.0748008
0.0762,-0.770514,-0.0710906
0.0763,-0.728969,-0.067124
0.0764,-0.684548,-0.0629181
0.0765,-0.637425,-0.0584912
0.0766,-0.587786,-0.0538612
0.0767,-0.535827,-0.0490488
0.0768,-0.481754,-0.0440734
0.0769,-0.42578,-0.0389563
0.077,-0.368126,-0.0337175
